id,Animal_Type,Animal_Breed,Intake_Type,Intake_Subtype,Reason,Intake_Condition,Hold_Request,Chip_Status,Animal_Origin,Outcome_Subtype,Outcome_Condition,Duration_of_Stay
1102,DOG,POODLE,OWNER SURRENDER,NO SUBTYPE,OTHRINTAKS,APP WNL,REGULAR,NO CHIP,FIELD,HUMANE,APP SICK,5
1254,CAT,DOMESTIC SH,STRAY,AT LARGE,OTHRINTAKS,APP WNL,ADOP RESCU,SCAN CHIP,OVER THE COUNTER,HUMANE,APP SICK,2
2236,CAT,SIAMESE,STRAY,CONFINED,OTHRINTAKS,APP INJ,ADOP RESCU,SCAN CHIP,FIELD,DASCLINIC,CRITICAL,1
2254,DOG,PIT BULL,TREATMENT,SPAY/NEUT,SURGERY,APP WNL,EMERGENCY RESCUE,SCAN CHIP,OVER THE COUNTER,COMPLETED,APP WNL,0
3351,DOG,SHEPHERD,OWNER SURRENDER,URGENT,MEDICAL,APP INJ,ADOP RESCU,SCAN CHIP,FIELD,MEDICAL,APP SICK,0
3652,LIVESTOCK,HORSE,CONFISCATED,SAC,OTHRINTAKS,APP SICK,REGULAR,SCAN NO CHIP,FIELD,WESTMORELD,APP WNL,0
4129,DOG,ALASK MALAMUTE,FOSTER,MISSING,PERSNLISSU,APP WNL,ADOP RESCU,SCAN CHIP,OVER THE COUNTER,SPACE,APP WNL,3
4445,DOG,GERM SHEPHERD,OWNER SURRENDER,URGENT,OTHRINTAKS,APP INJ,ADOP RESCU,SCAN CHIP,FIELD,HUMANE,APP INJ,0
4521,WILDLIFE,LEMUR,CONFISCATED,QUARANTINE,OTHRINTAKS,APP WNL,QUARANTINE,SCAN NO CHIP,BITE,MEDICAL,APP INJ,2
6645,DOG,GERM SHEPHERD,OWNER SURRENDER,APPOINT,PERSNLISSU,APP WNL,ADOP RESCU,SCAN NO CHIP,OVER THE COUNTER,GENERAL,APP WNL,1
7452,DOG,CHIHUAHUA,STRAY,FOUND STRAY,OTHRINTAKS,APP INJ,REGULAR,SCAN NO CHIP,FIELD,WESTMORELD,APP WNL,4
7896,BIRD,PARROT,OWNER SURRENDER,URGENT,MEDICAL,FATAL,EMERGENCY RESCUE,NO CHIP,FIELD,WESTMORELD,APP WNL,0
8312,DOG,PIT BULL,STRAY,CONFINED,OTHRINTAKS,APP WNL,EMERGENCY RESCUE,SCAN NO CHIP,FIELD,MEDICAL,APP SICK,19
9254,DOG,LABRADOR RETR,STRAY,FOUND STRAY,OTHRINTAKS,APP WNL,EMERGENCY RESCUE,SCAN CHIP,AGGOPS,MEDICAL,APP SICK,3
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,s,,,
